battery_id,cycle,voltage_measured,current_measured,temperature_measured,voltage_charge,current_charge,capacity,internal_resistance,ambient_temperature,soh,rul
B0005,1,3.7019,-1.9031,25.87,4.1986,1.5435,1.86,0.02254,22.47,100.0,437
B0005,2,3.7139,-1.9573,24.34,4.2385,1.5444,1.8568,0.02248,23.42,99.83,436
B0005,3,3.7087,-2.0646,21.25,4.1876,1.4618,1.8599,0.02174,24.06,100.0,435
B0005,4,3.7033,-1.8225,22.59,4.2242,1.5019,1.86,0.02321,22.94,100.0,434
B0005,5,3.6827,-2.1194,24.05,4.2247,1.5342,1.8526,0.02112,24.27,99.6,433
B0005,6,3.7076,-1.9081,24.86,4.1911,1.4895,1.8513,0.02343,24.7,99.53,432
B0005,7,3.7355,-1.8999,24.37,4.2078,1.5536,1.86,0.02251,22.38,100.0,431
B0005,8,3.7245,-2.0671,26.35,4.2236,1.6182,1.8544,0.02207,22.5,99.7,430
B0005,9,3.7292,-1.8608,21.66,4.1934,1.4607,1.8463,0.02243,23.23,99.26,429
B0005,10,3.6868,-2.025,24.86,4.1959,1.4309,1.8507,0.0224,23.72,99.5,428
B0005,11,3.6769,-1.9711,21.98,4.1902,1.5152,1.8439,0.02377,22.93,99.13,427
B0005,12,3.6939,-1.974,25.91,4.1836,1.5361,1.8426,0.02153,24.85,99.06,426
B0005,13,3.6972,-2.0134,24.69,4.189,1.4885,1.8453,0.02189,23.96,99.21,425
B0005,14,3.7177,-1.9189,25.52,4.1802,1.5727,1.832,0.02374,23.62,98.5,424
B0005,15,3.6617,-1.9207,23.66,4.199,1.4331,1.8319,0.02216,22.18,98.49,423
B0005,16,3.7258,-2.1749,26.93,4.1869,1.5346,1.8371,0.02371,22.34,98.77,422
B0005,17,3.6917,-1.8696,26.63,4.2018,1.4697,1.8333,0.02456,23.98,98.57,421
B0005,18,3.6861,-2.1662,26.0,4.1749,1.586,1.8395,0.02251,21.6,98.9,420
B0005,19,3.6741,-1.8967,24.99,4.2031,1.5996,1.8314,0.02364,24.79,98.46,419
B0005,20,3.6609,-1.8873,26.11,4.2105,1.4617,1.8274,0.02186,23.66,98.25,418
B0005,21,3.7102,-2.1091,24.23,4.168,1.4725,1.8422,0.02381,27.09,99.04,417
B0005,22,3.6949,-2.0411,26.62,4.2034,1.543,1.8315,0.02331,26.2,98.47,416
B0005,23,3.6673,-2.1106,27.87,4.2161,1.4806,1.8319,0.02363,23.75,98.49,415
B0005,24,3.6669,-2.0215,27.05,4.1795,1.4977,1.8223,0.02257,23.86,97.98,414
B0005,25,3.6858,-2.0308,24.39,4.2226,1.5013,1.826,0.0216,25.0,98.17,413
B0005,26,3.7256,-1.922,26.08,4.2037,1.404,1.8284,0.02382,25.74,98.3,412
B0005,27,3.6867,-1.869,23.64,4.1867,1.4993,1.8201,0.0213,22.43,97.86,411
B0005,28,3.6615,-1.8604,26.48,4.1964,1.4655,1.8274,0.0231,22.32,98.25,410
B0005,29,3.6864,-2.0562,26.34,4.2055,1.4753,1.8207,0.02441,23.52,97.89,409
B0005,30,3.6855,-2.0209,22.9,4.1981,1.5722,1.8212,0.02371,24.76,97.91,408
